name,set,condition,seller 1 price,seller 2 price,updated_price
Ornithopter,Antiquities,Lightly Played,1.67,1.75,1.66
Tawnos's Wand,Antiquities,Lightly Played,0.69,0.71,0.6799999999999999
Tawnos's Weaponry,Antiquities,Lightly Played,0.68,0.8,0.75
Dance of Many,The Dark,Lightly Played,2.71,3.37,3.3600000000000003
Eater of the Dead,The Dark,Lightly Played,8.32,8.54,8.53
Eternal Flame,The Dark,Lightly Played,2.36,2.37,3.3
Exorcist,The Dark,Lightly Played,3.42,3.49,4.41
Knights of Thorn,The Dark,Lightly Played,1.94,2.05,2.35
Acid Rain,Legends,Lightly Played,39.95,40.23,39.940000000000005
Al-abara's Carpet,Legends,Lightly Played,23.99,24.31,23.979999999999997
Arboria,Legends,Lightly Played,7.8,7.99,7.98
Blight,Legends,Lightly Played,3.75,3.93,3.9200000000000004
Bronze Horse,Legends,Lightly Played,6.25,6.99,6.98
Cyclopean Mummy,Legends,Lightly Played,0.15,0.15,0.17
Field of Dreams,Legends,Lightly Played,90.25,91.66,90.24
Gosta Dirk,Legends,Lightly Played,9.94,9.95,11.51
Hammerheim,Legends,Lightly Played,4.64,5.99,5.98
Infinite Authority,Legends,Lightly Played,7.48,7.5,9.91
Invoke Prejudice,Legends,Lightly Played,231.67,249.95,263.88
Kobold Overlord,Legends,Lightly Played,21.62,21.63,33.02
Lady Caleria,Legends,Lightly Played,7.48,12.83,12.82
